hr_medicao,cdg_stacao,vento_direcao
2019-01-09 07:00:00.000000,A046,5
2019-01-09 08:00:00.000000,A046,300
2019-01-09 09:00:00.000000,A046,330
2019-01-09 10:00:00.000000,A046,37
2019-01-09 11:00:00.000000,A046,74
2019-01-09 12:00:00.000000,A046,71
2019-01-09 13:00:00.000000,A046,59
2019-01-09 14:00:00.000000,A046,72
2019-01-09 15:00:00.000000,A046,69
2019-01-09 16:00:00.000000,A046,86
2019-01-09 17:00:00.000000,A046,115
2019-01-09 18:00:00.000000,A046,101
2019-01-09 19:00:00.000000,A046,92
2019-01-09 20:00:00.000000,A046,81
2019-01-09 21:00:00.000000,A046,86
2019-01-09 22:00:00.000000,A046,86
2019-01-09 23:00:00.000000,A046,80
2019-01-09 00:00:00.000000,A047,92
2019-01-09 01:00:00.000000,A047,53
2019-01-09 02:00:00.000000,A047,62
2019-01-09 03:00:00.000000,A047,41
2019-01-09 04:00:00.000000,A047,10
2019-01-09 05:00:00.000000,A047,356
2019-01-09 06:00:00.000000,A047,342
2019-01-09 07:00:00.000000,A047,265
2019-01-09 08:00:00.000000,A047,347
2019-01-09 09:00:00.000000,A047,9
2019-01-09 10:00:00.000000,A047,54
2019-01-09 11:00:00.000000,A047,75
2019-01-09 12:00:00.000000,A047,72
2019-01-09 13:00:00.000000,A047,59
2019-01-09 14:00:00.000000,A047,61
2019-01-09 15:00:00.000000,A047,67
2019-01-09 16:00:00.000000,A047,56
2019-01-09 17:00:00.000000,A047,73
2019-01-09 18:00:00.000000,A047,99
2019-01-09 19:00:00.000000,A047,96
2019-01-09 20:00:00.000000,A047,91
2019-01-09 21:00:00.000000,A047,110
2019-01-09 22:00:00.000000,A047,127
2019-01-09 23:00:00.000000,A047,95
