hr_medicao,cdg_stacao,temperatura
2019-01-09 19:00:00.000000,A056,27.4
2019-01-09 20:00:00.000000,A056,27.1
2019-01-09 21:00:00.000000,A056,25.9
2019-01-09 22:00:00.000000,A056,21.8
2019-01-09 23:00:00.000000,A056,19.6
2019-01-09 00:00:00.000000,A046,23.8
2019-01-09 01:00:00.000000,A046,23.2
2019-01-09 02:00:00.000000,A046,21.5
2019-01-09 03:00:00.000000,A046,19.9
2019-01-09 04:00:00.000000,A046,19
2019-01-09 05:00:00.000000,A046,19.4
2019-01-09 06:00:00.000000,A046,19.8
2019-01-09 07:00:00.000000,A046,17.9
2019-01-09 08:00:00.000000,A046,17
2019-01-09 09:00:00.000000,A046,17.2
2019-01-09 10:00:00.000000,A046,21.3
2019-01-09 11:00:00.000000,A046,23.7
2019-01-09 12:00:00.000000,A046,24.7
2019-01-09 13:00:00.000000,A046,26.2
2019-01-09 14:00:00.000000,A046,26
2019-01-09 15:00:00.000000,A046,26.9
2019-01-09 16:00:00.000000,A046,27.9
2019-01-09 17:00:00.000000,A046,28.1
2019-01-09 18:00:00.000000,A046,28.3
2019-01-09 19:00:00.000000,A046,28.6
2019-01-09 20:00:00.000000,A046,27.2
2019-01-09 21:00:00.000000,A046,26.6
2019-01-09 22:00:00.000000,A046,23.6
2019-01-09 23:00:00.000000,A046,22.8
2019-01-09 00:00:00.000000,A047,21.2
2019-01-09 01:00:00.000000,A047,20.6
2019-01-09 02:00:00.000000,A047,20.2
2019-01-09 03:00:00.000000,A047,20.2
2019-01-09 04:00:00.000000,A047,19.8
2019-01-09 05:00:00.000000,A047,18.9
2019-01-09 06:00:00.000000,A047,18.6
2019-01-09 07:00:00.000000,A047,17.6
2019-01-09 08:00:00.000000,A047,17.9
2019-01-09 09:00:00.000000,A047,18.4
2019-01-09 10:00:00.000000,A047,20.5
2019-01-09 11:00:00.000000,A047,21.6
2019-01-09 12:00:00.000000,A047,22.5
2019-01-09 13:00:00.000000,A047,23.7
2019-01-09 14:00:00.000000,A047,25.3
2019-01-09 15:00:00.000000,A047,26.3
2019-01-09 16:00:00.000000,A047,25.8
2019-01-09 17:00:00.000000,A047,27.2
2019-01-09 18:00:00.000000,A047,27.3
2019-01-09 19:00:00.000000,A047,27.6
2019-01-09 20:00:00.000000,A047,26.6
2019-01-09 21:00:00.000000,A047,24.2
2019-01-09 22:00:00.000000,A047,22.5
2019-01-09 23:00:00.000000,A047,20.7
