cidade,situacao,latitude,longitude,altitude,cdg_estacao,sg_estado
COLINAS,Operante,-6.033055540000000000000000000000,-44.233333330000000000000000000000,-44.233333330000000000000000000000,A222,MA
ALTO PARNAIBA,Operante,-9.108333330000000000000000000000,-45.931944430000000000000000000000,-45.931944430000000000000000000000,A223,MA
ESTREITO,Operante,-6.653333330000000000000000000000,-47.418333320000000000000000000000,-47.418333320000000000000000000000,A224,MA
IMPERATRIZ,Operante,-5.555833330000000000000000000000,-47.459722220000000000000000000000,-47.459722220000000000000000000000,A225,MA
BRAGANCA,Operante,-1.055833330000000000000000000000,-46.782777770000000000000000000000,-46.782777770000000000000000000000,A226,PA
SOURE,Pane,-0.727777770000000000000000000000,-48.515833330000000000000000000000,-48.515833330000000000000000000000,A227,PA
BREVES,Pane,-1.680277770000000000000000000000,-50.478055540000000000000000000000,-50.478055540000000000000000000000,A228,PA
TUCURUI,Operante,-3.822777770000000000000000000000,-49.674999990000000000000000000000,-49.674999990000000000000000000000,A229,PA
SERRA DOS CARAJAS,Pane,-6.077499990000000000000000000000,-50.142222210000000000000000000000,-50.142222210000000000000000000000,A230,PA
ITAITUBA,Operante,-4.276944430000000000000000000000,-55.993055550000000000000000000000,-55.993055550000000000000000000000,A231,PA
OBIDOS,Operante,-1.880833320000000000000000000000,-55.519722210000000000000000000000,-55.519722210000000000000000000000,A232,PA
SANTANA DO ARAGUAIA,Operante,-9.340555550000000000000000000000,-50.350277770000000000000000000000,-50.350277770000000000000000000000,A233,PA
TUCUMA,Pane,-6.743333330000000000000000000000,-51.141944440000000000000000000000,-51.141944440000000000000000000000,A234,PA
NOVO REPARTIMENTO,Pane,-4.243888880000000000000000000000,-49.939444440000000000000000000000,-49.939444440000000000000000000000,A235,PA
CAMETA,Pane,-2.239722210000000000000000000000,-49.499722210000000000000000000000,-49.499722210000000000000000000000,A236,PA
CAXIAS,Operante,-4.821388880000000000000000000000,-43.343611100000000000000000000000,-43.343611100000000000000000000000,A237,MA
BURITICUPU,Operante,-4.320555540000000000000000000000,-46.449444440000000000000000000000,-46.449444440000000000000000000000,A238,MA
MONTE ALEGRE,Operante,-2.000000000000000000000000000000,-54.076388880000000000000000000000,-54.076388880000000000000000000000,A239,PA
MARABA,Pane,-5.366388880000000000000000000000,-49.051111110000000000000000000000,-49.051111110000000000000000000000,A240,PA
CONCEICAO DO ARAGUAIA,Operante,-8.303611110000000000000000000000,-49.282777770000000000000000000000,-49.282777770000000000000000000000,A241,PA
OIAPOQUE,Operante,3.813611110000000000000000000000,-51.862500000000000000000000000000,-51.862500000000000000000000000000,A242,AP
PORTO GRANDE,Operante,0.694166660000000000000000000000,-51.403888880000000000000000000000,-51.403888880000000000000000000000,A244,AP
PORTO DE MOZ,Operante,-1.821944430000000000000000000000,-52.111666660000000000000000000000,-52.111666660000000000000000000000,A245,PA
MINA DO PALITO,Pane,-6.319999990000000000000000000000,-55.787777770000000000000000000000,-55.787777770000000000000000000000,A246,PA
XINGUARA,Operante,-7.110555550000000000000000000000,-49.926111100000000000000000000000,-49.926111100000000000000000000000,A247,PA
CAPITAO POCO,Operante,-1.734722210000000000000000000000,-47.057500000000000000000000000000,-47.057500000000000000000000000000,A248,PA
MACAPA,Operante,0.034999990000000000000000000000,-51.088888880000000000000000000000,-51.088888880000000000000000000000,A249,AP
SANTAREM,Operante,-2.502500000000000000000000000000,-54.720277770000000000000000000000,-54.720277770000000000000000000000,A250,PA
ITAUBAL,Operante,0.567777770000000000000000000000,-50.823611100000000000000000000000,-50.823611100000000000000000000000,A251,AP
DOM ELISEU,Operante,-4.280555540000000000000000000000,-47.563888880000000000000000000000,-47.563888880000000000000000000000,A252,PA
ALTAMIRA,Operante,-3.269999990000000000000000000000,-52.394722210000000000000000000000,-52.394722210000000000000000000000,A253,PA
REDENCAO,Operante,-8.043333330000000000000000000000,-50.006944440000000000000000000000,-50.006944440000000000000000000000,A254,PA
ZE DOCA,Operante,-3.269166660000000000000000000000,-45.651111110000000000000000000000,-45.651111110000000000000000000000,A255,MA
SANTA MARIA DAS BARREIRAS,Operante,-8.729722210000000000000000000000,-49.856388880000000000000000000000,-49.856388880000000000000000000000,A256,PA
RECIFE,Pane,-8.059166660000000000000000000000,-34.959166660000000000000000000000,-34.959166660000000000000000000000,A301,PE
MACEIO,Operante,-9.551111110000000000000000000000,-35.770277770000000000000000000000,-35.770277770000000000000000000000,A303,AL
NATAL,Pane,-5.837222210000000000000000000000,-35.208055550000000000000000000000,-35.208055550000000000000000000000,A304,RN
FORTALEZA,Operante,-3.815833330000000000000000000000,-38.537777770000000000000000000000,-38.537777770000000000000000000000,A305,CE
SOBRAL,Operante,-3.748055550000000000000000000000,-40.345833330000000000000000000000,-40.345833330000000000000000000000,A306,CE
PETROLINA,Pane,-9.388333330000000000000000000000,-40.523333320000000000000000000000,-40.523333320000000000000000000000,A307,PE
PARNAIBA,Operante,-3.086666660000000000000000000000,-41.783055540000000000000000000000,-41.783055540000000000000000000000,A308,PI
ARCO VERDE,Operante,-8.433611100000000000000000000000,-37.055555550000000000000000000000,-37.055555550000000000000000000000,A309,PE
AREIA,Operante,-6.975451000000000000000000000000,-35.718128000000000000000000000000,-35.718128000000000000000000000000,A310,PB
FLORIANO,Operante,-6.761388880000000000000000000000,-43.003333330000000000000000000000,-43.003333330000000000000000000000,A311,PI
TERESINA,Operante,-5.034722210000000000000000000000,-42.801388880000000000000000000000,-42.801388880000000000000000000000,A312,PI
CAMPINA GRANDE,Pane,-7.225555540000000000000000000000,-35.904722220000000000000000000000,-35.904722220000000000000000000000,A313,PB
GUARAMIRANGA,Pane,-4.229166660000000000000000000000,-38.958888880000000000000000000000,-38.958888880000000000000000000000,A314,CE
BARBALHA,Operante,-7.300833330000000000000000000000,-39.271111100000000000000000000000,-39.271111100000000000000000000000,A315,CE
CAICO,Operante,-6.467499990000000000000000000000,-37.084999990000000000000000000000,-37.084999990000000000000000000000,A316,RN
MACAU,Operante,-5.151111110000000000000000000000,-36.573055540000000000000000000000,-36.573055540000000000000000000000,A317,RN
MOSSORO,Operante,-4.904166660000000000000000000000,-37.366944430000000000000000000000,-37.366944430000000000000000000000,A318,RN
IGUATU,Operante,-6.396388880000000000000000000000,-39.268888880000000000000000000000,-39.268888880000000000000000000000,A319,CE
JOAO PESSOA,Operante,-7.165277770000000000000000000000,-34.815555550000000000000000000000,-34.815555550000000000000000000000,A320,PB
PATOS,Pane,-7.079722210000000000000000000000,-37.272777770000000000000000000000,-37.272777770000000000000000000000,A321,PB
GARANHUNS,Operante,-8.910833330000000000000000000000,-36.493333330000000000000000000000,-36.493333330000000000000000000000,A322,PE
PAO DE ACUCAR,Operante,-9.749166660000000000000000000000,-37.430833320000000000000000000000,-37.430833320000000000000000000000,A323,AL
TAUA,Pane,-6.017499990000000000000000000000,-40.281388880000000000000000000000,-40.281388880000000000000000000000,A324,CE
QUIXERAMOBIM,Operante,-5.174444430000000000000000000000,-39.289444440000000000000000000000,-39.289444440000000000000000000000,A325,CE
BOM JESUS DO PIAUI,Operante,-9.079999990000000000000000000000,-44.327777770000000000000000000000,-44.327777770000000000000000000000,A326,PI
PALMEIRA DOS INDIOS,Operante,-9.420277770000000000000000000000,-36.620277770000000000000000000000,-36.620277770000000000000000000000,A327,AL
SURUBIM,Operante,-7.839722210000000000000000000000,-35.801111110000000000000000000000,-35.801111110000000000000000000000,A328,PE
CABROBO,Operante,-8.503888880000000000000000000000,-39.315277770000000000000000000000,-39.315277770000000000000000000000,A329,PE
PAULISTANA,Operante,-8.132288000000000000000000000000,-41.142945000000000000000000000000,-41.142945000000000000000000000000,A330,PI
SAO JOAO DO PIAUI,Operante,-8.364444440000000000000000000000,-42.252500000000000000000000000000,-42.252500000000000000000000000000,A331,PI
MORADA NOVA,Operante,-5.091111100000000000000000000000,-38.364722220000000000000000000000,-38.364722220000000000000000000000,A332,CE
SAO GONCALO,Operante,-6.835777000000000000000000000000,-38.311583000000000000000000000000,-38.311583000000000000000000000000,A333,PB
MONTEIRO,Operante,-7.894444440000000000000000000000,-37.124722210000000000000000000000,-37.124722210000000000000000000000,A334,PB
PIRIPIRI,Operante,-4.276111100000000000000000000000,-41.794444440000000000000000000000,-41.794444440000000000000000000000,A335,PI
ALVORADA DO GURGUEIA,Operante,-8.376388880000000000000000000000,-43.859444440000000000000000000000,-43.859444440000000000000000000000,A336,PI
CARACOL,Pane,-9.285833330000000000000000000000,-43.324444430000000000000000000000,-43.324444430000000000000000000000,A337,PI
JAGUARUANA,Operante,-4.837777770000000000000000000000,-37.699722210000000000000000000000,-37.699722210000000000000000000000,A339,CE
APODI,Operante,-5.626666660000000000000000000000,-37.815000000000000000000000000000,-37.815000000000000000000000000000,A340,RN
CARUARU,Operante,-8.365277770000000000000000000000,-36.028333320000000000000000000000,-36.028333320000000000000000000000,A341,PE
CRATEUS,Operante,-5.186666660000000000000000000000,-40.672222210000000000000000000000,-40.672222210000000000000000000000,A342,CE
PICOS,Operante,-7.071111100000000000000000000000,-41.404166660000000000000000000000,-41.404166660000000000000000000000,A343,PI
CALCANHAR,Pane,-5.160000000000000000000000000000,-35.487499990000000000000000000000,-35.487499990000000000000000000000,A344,RN
SAO RAIMUNDO NONATO,Operante,-9.033055540000000000000000000000,-42.701111110000000000000000000000,-42.701111110000000000000000000000,A345,PI
URUCUI,Operante,-7.441388880000000000000000000000,-44.344999990000000000000000000000,-44.344999990000000000000000000000,A346,PI
CAMPOS SALES,Operante,-7.077777770000000000000000000000,-40.362777770000000000000000000000,-40.362777770000000000000000000000,A347,CE
CABACEIRAS,Operante,-7.483333330000000000000000000000,-36.286388880000000000000000000000,-36.286388880000000000000000000000,A348,PB
IBIMIRIM,Operante,-8.509444440000000000000000000000,-37.711666660000000000000000000000,-37.711666660000000000000000000000,A349,PE
SERRA TALHADA,Operante,-7.954166660000000000000000000000,-38.294999990000000000000000000000,-38.294999990000000000000000000000,A350,PE
FLORESTA,Operante,-8.598888880000000000000000000000,-38.584166660000000000000000000000,-38.584166660000000000000000000000,A351,PE
CAMARATUBA,Operante,-6.561944440000000000000000000000,-35.135277770000000000000000000000,-35.135277770000000000000000000000,A352,PB
ARAPIRACA,Operante,-9.804444440000000000000000000000,-36.619166660000000000000000000000,-36.619166660000000000000000000000,A353,AL
OEIRAS,Operante,-6.974166660000000000000000000000,-42.146944440000000000000000000000,-42.146944440000000000000000000000,A354,PI
CORURIPE,Operante,-10.128611100000000000000000000000,-36.286388880000000000000000000000,-36.286388880000000000000000000000,A355,AL
SAO LUIS DO QUITUNDE,Operante,-9.287499990000000000000000000000,-35.565833330000000000000000000000,-35.565833330000000000000000000000,A356,AL
PALMARES,Operante,-8.666666660000000000000000000000,-35.568055540000000000000000000000,-35.568055540000000000000000000000,A357,PE
JAGUARIBE,Operante,-5.905555550000000000000000000000,-38.627777770000000000000000000000,-38.627777770000000000000000000000,A358,CE
ITAPIPOCA,Operante,-3.484166660000000000000000000000,-39.588611100000000000000000000000,-39.588611100000000000000000000000,A359,CE
ACARAU,Operante,-3.121111100000000000000000000000,-40.087222210000000000000000000000,-40.087222210000000000000000000000,A360,CE
CASTELO DO PIAUI,Operante,-5.349166660000000000000000000000,-41.512222220000000000000000000000,-41.512222220000000000000000000000,A361,PI
VALENCA DO PIAUI,Operante,-6.423611100000000000000000000000,-41.748888880000000000000000000000,-41.748888880000000000000000000000,A363,PI
GILBUES,Operante,-9.875277770000000000000000000000,-45.345833330000000000000000000000,-45.345833330000000000000000000000,A364,PI
CANTO DO BURITI,Operante,-8.118055540000000000000000000000,-42.975833320000000000000000000000,-42.975833320000000000000000000000,A365,PI
OURICURI,Operante,-7.885833330000000000000000000000,-40.102777770000000000000000000000,-40.102777770000000000000000000000,A366,PE
SANTA CRUZ,Operante,-6.228055540000000000000000000000,-36.026666660000000000000000000000,-36.026666660000000000000000000000,A367,RN
TIANGUA,Operante,-3.732222210000000000000000000000,-41.011944440000000000000000000000,-41.011944440000000000000000000000,A368,CE
QUIXADA,Operante,-4.978888880000000000000000000000,-39.057222220000000000000000000000,-39.057222220000000000000000000000,A369,CE
SALGUEIRO,Operante,-8.058055550000000000000000000000,-39.096111100000000000000000000000,-39.096111100000000000000000000000,A370,PE
PIRANHAS,Operante,-9.622222210000000000000000000000,-37.767222210000000000000000000000,-37.767222210000000000000000000000,A371,AL
IPANGUACU,Operante,-5.534999990000000000000000000000,-36.872222210000000000000000000000,-36.872222210000000000000000000000,A372,RN
ITAPORANGA,Operante,-7.318333320000000000000000000000,-38.140833330000000000000000000000,-38.140833330000000000000000000000,A373,PB
CORRENTE,Operante,-10.429166660000000000000000000000,-45.173055540000000000000000000000,-45.173055540000000000000000000000,A374,PI
BAIXA GRANDE DO RIBEIRO,Operante,-8.333531000000000000000000000000,-45.094625000000000000000000000000,-45.094625000000000000000000000000,A375,PI
CAMPO MAIOR,Operante,-4.864166660000000000000000000000,-42.145555550000000000000000000000,-42.145555550000000000000000000000,A376,PI
ANGICAL DO PIAUI,Pane,-6.089444440000000000000000000000,-42.727499990000000000000000000000,-42.727499990000000000000000000000,A377,PI
SALVADOR,Operante,-13.005515000000000000000000000000,-38.505760000000000000000000000000,-38.505760000000000000000000000000,A401,BA
BARREIRAS,Operante,-12.124722210000000000000000000000,-45.026944430000000000000000000000,-45.026944430000000000000000000000,A402,BA
LUIZ EDUARDO MAGALHAES,Operante,-12.152500000000000000000000000000,-45.829722210000000000000000000000,-45.829722210000000000000000000000,A404,BA
CARAVELAS,Operante,-17.739444440000000000000000000000,-39.258611110000000000000000000000,-39.258611110000000000000000000000,A405,BA
CRUZ DAS ALMAS,Pane,-12.675555540000000000000000000000,-39.089444440000000000000000000000,-39.089444440000000000000000000000,A406,BA
ITIRUCU,Pane,-13.527777770000000000000000000000,-40.119722210000000000000000000000,-40.119722210000000000000000000000,A407,BA
ITABERABA,Operante,-12.524166660000000000000000000000,-40.299722210000000000000000000000,-40.299722210000000000000000000000,A408,BA
ARACAJU,Operante,-10.952500000000000000000000000000,-37.054444440000000000000000000000,-37.054444440000000000000000000000,A409,SE
ILHEUS,Operante,-14.658888880000000000000000000000,-39.181388880000000000000000000000,-39.181388880000000000000000000000,A410,BA
MACAJUBA,Operante,-12.131666660000000000000000000000,-40.354166660000000000000000000000,-40.354166660000000000000000000000,A412,BA
FEIRA DE SANTANA,Operante,-12.196111100000000000000000000000,-38.967499990000000000000000000000,-38.967499990000000000000000000000,A413,BA
VITORIA DA CONQUISTA,Operante,-14.886388880000000000000000000000,-40.801388880000000000000000000000,-40.801388880000000000000000000000,A414,BA
SANTA RITA DE CASSIA,Operante,-11.003333330000000000000000000000,-44.536388880000000000000000000000,-44.536388880000000000000000000000,A415,BA
CORRENTINA,Operante,-13.332499990000000000000000000000,-44.617499990000000000000000000000,-44.617499990000000000000000000000,A416,BA
ITABAIANINHA,Operante,-11.272499990000000000000000000000,-37.794999990000000000000000000000,-37.794999990000000000000000000000,A417,SE
BOM JESUS DA LAPA,Operante,-13.251111110000000000000000000000,-43.405277770000000000000000000000,-43.405277770000000000000000000000,A418,BA
POCO VERDE,Pane,-10.738055550000000000000000000000,-38.108333330000000000000000000000,-38.108333330000000000000000000000,A419,SE
BREJO GRANDE,Operante,-10.473888880000000000000000000000,-36.481944430000000000000000000000,-36.481944430000000000000000000000,A421,SE
ABROLHOS,Pane,-17.963055550000000000000000000000,-38.703333330000000000000000000000,-38.703333330000000000000000000000,A422,BA
REMANSO,Operante,-9.625555540000000000000000000000,-42.077222210000000000000000000000,-42.077222210000000000000000000000,A423,BA
IRECE,Operante,-11.328998000000000000000000000000,-41.864504000000000000000000000000,-41.864504000000000000000000000000,A424,BA
LENCOIS,Operante,-12.557777770000000000000000000000,-41.388888880000000000000000000000,-41.388888880000000000000000000000,A425,BA
GUANAMBI,Pane,-14.208055550000000000000000000000,-42.749722210000000000000000000000,-42.749722210000000000000000000000,A426,BA
PORTO SEGURO,Pane,-16.388888880000000000000000000000,-39.182499990000000000000000000000,-39.182499990000000000000000000000,A427,BA
SENHOR DO BONFIM,Operante,-10.443055550000000000000000000000,-40.148333330000000000000000000000,-40.148333330000000000000000000000,A428,BA
BARRA,Pane,-11.084722210000000000000000000000,-43.138888880000000000000000000000,-43.138888880000000000000000000000,A429,BA
PIATA,Operante,-13.155681000000000000000000000000,-41.774125000000000000000000000000,-41.774125000000000000000000000000,A430,BA
CONDE,Operante,-12.035833330000000000000000000000,-37.683888880000000000000000000000,-37.683888880000000000000000000000,A431,BA
BURITIRAMA,Operante,-10.723055540000000000000000000000,-43.651111110000000000000000000000,-43.651111110000000000000000000000,A432,BA
BRUMADO,Operante,-14.181944430000000000000000000000,-41.672222210000000000000000000000,-41.672222210000000000000000000000,A433,BA
AMARGOSA,Operante,-13.009444440000000000000000000000,-39.616944430000000000000000000000,-39.616944430000000000000000000000,A434,BA
QUEIMADAS,Pane,-10.984722210000000000000000000000,-39.616944430000000000000000000000,-39.616944430000000000000000000000,A436,BA
UNA,Operante,-15.280277770000000000000000000000,-39.091388880000000000000000000000,-39.091388880000000000000000000000,A437,BA
MARAU,Pane,-13.906944440000000000000000000000,-38.972222210000000000000000000000,-38.972222210000000000000000000000,A438,BA
IBOTIRAMA,Pane,-12.193055550000000000000000000000,-43.213333330000000000000000000000,-43.213333330000000000000000000000,A439,BA
JACOBINA,Operante,-11.205000000000000000000000000000,-40.465000000000000000000000000000,-40.465000000000000000000000000000,A440,BA
SERRINHA,Operante,-11.664722220000000000000000000000,-39.023055540000000000000000000000,-39.023055540000000000000000000000,A441,BA
EUCLIDES DA CUNHA,Operante,-10.537222210000000000000000000000,-38.996666660000000000000000000000,-38.996666660000000000000000000000,A442,BA
